1,1,2,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,2,2,4,4,2,4,3,2,4,2,1,1,1,1,1,4,2,3,5,1,3,20,2,7,1,1,9,5,7,10,7,221,23,3,119,19,1,15,122,0.7263,0.245921,0.187583,0.789639,0.310061,0.718367,0.33506,0.3026,0.67135,0.8351,0.569745,0.594646,0.822493,0.714843,2213.18
2,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,4,4,1,2,3,2,4,2,1,1,1,1,1,4,4,3,5,5,4,20,12,6,1,1,5,5,9,11,11,29,317,1,122,213,1,15,416,0.330514,0.737068,0.592681,0.614134,0.885834,0.438917,0.436585,0.60087,0.35127,0.43919,0.338312,0.366307,0.611431,0.304496,1283.6
5,1,2,1,1,2,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,2,4,2,4,3,2,2,2,1,1,1,1,1,4,4,3,5,5,1,4,12,15,1,2,5,6,8,6,1,12,411,1,3,16,1,9,711,0.261841,0.358319,0.484196,0.236924,0.397069,0.289648,0.315545,0.2732,0.26076,0.32446,0.381398,0.373424,0.195709,0.774425,3005.09
10,2,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,4,2,2,4,4,4,2,3,2,4,2,1,1,1,1,1,4,4,3,5,5,4,20,9,4,1,1,5,5,9,11,11,29,319,3,14,15,1,15,410,0.321594,0.555782,0.527991,0.373816,0.422268,0.440945,0.391128,0.31796,0.32128,0.44467,0.327915,0.32157,0.605077,0.602642,939.85
11,1,2,1,2,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,4,2,4,2,4,2,2,3,2,2,3,1,1,1,2,8,4,2,4,5,5,1,16,6,10,1,1,4,5,11,7,2,8,3,3,25,213,1,11,311,0.273204,0.15999,0.527991,0.473202,0.704268,0.178193,0.247408,0.24564,0.22089,0.2123,0.204687,0.202213,0.246011,0.432606,2763.85
13,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,4,2,4,2,4,2,2,3,2,2,2,1,1,1,1,1,4,4,4,5,3,1,16,10,4,1,1,5,5,8,6,2,29,319,1,119,15,1,11,410,0.54667,0.681761,0.634224,0.373816,0.302678,0.364464,0.401162,0.26847,0.46226,0.50556,0.366788,0.359249,0.345247,0.726792,5142.87
14,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,4,4,2,4,3,2,2,2,1,1,1,1,1,4,4,4,5,3,1,16,10,1,1,3,5,5,8,6,2,29,411,1,10,16,1,11,410,0.471447,0.737068,0.61366,0.189137,0.295397,0.381515,0.363768,0.24564,0.40455,0.47225,0.334828,0.352251,0.342239,0.382931,1132.22
20,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,4,2,4,1,2,3,2,4,3,4,1,1,1,1,3,2,3,5,1,3,20,8,3,1,1,11,6,6,9,7,29,52,7,18,25,1,16,1215,0.826591,0.488789,0.26357,0.62377,0.473767,0.867021,0.583389,0.90267,0.84847,0.80218,0.644013,0.785706,0.859764,0.242416,3585.75
23,1,2,2,2,2,1,1,1,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,4,2,4,2,2,2,2,3,2,4,4,1,1,2,1,1,4,3,3,5,3,4,20,3,17,1,3,8,6,7,13,11,29,23,3,11,124,1,17,95,0.330514,0.555782,0.440642,0.473202,0.281143,0.628534,0.384099,0.61229,0.38249,0.51111,0.682315,0.669033,0.756454,0.361191,10280.2
24,1,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,2,2,2,2,3,2,4,3,4,1,1,2,8,4,2,3,5,1,3,20,6,4,1,6,11,8,7,10,7,221,423,1,21,19,10,15,1225,0.7263,0.358319,0.356819,0.802892,0.310061,0.713343,0.469223,0.3026,0.67135,0.8351,0.863052,0.879347,0.822493,0.294523,6184.59
25,1,2,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,4,4,2,2,1,2,2,2,1,1,1,7,8,4,4,4,5,1,1,16,8,17,1,1,6,7,7,6,4,29,113,1,119,8,1,11,719,0.496063,0.358319,0.65431,0.284048,0.281143,0.429383,0.877905,0.39455,0.53565,0.50556,0.550529,0.538473,0.336261,0.715009,6396.85
33,1,2,1,1,2,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,2,4,2,4,1,4,3,2,2,4,1,1,1,1,1,3,2,4,5,3,1,16,8,13,1,2,7,9,9,6,2,29,19,1,5,124,1,11,811,0.520698,0.422197,0.634224,0.432728,0.508483,0.314683,0.370419,0.58354,0.46226,0.38016,0.644013,0.665644,0.339244,0.799124,5965.73
34,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,4,4,2,2,3,2,4,2,1,1,1,2,8,4,4,3,5,5,4,20,6,1,1,2,5,5,9,11,11,29,319,1,5,15,1,15,410,0.321594,0.555782,0.527991,0.373816,0.302678,0.408772,0.363312,0.32843,0.32128,0.44467,0.327915,0.32157,0.605077,0.818358,1193.05
41,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,4,2,2,4,4,2,2,3,2,2,2,1,1,1,2,1,4,2,3,5,5,1,4,9,1,1,2,4,5,10,7,1,12,57,1,111,11,5,11,43,0.351358,0.555782,0.440642,0.83324,0.811271,0.241574,0.255339,0.58934,0.32496,0.26029,0.257148,0.253044,0.276878,0.477578,1071.77
47,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,4,4,4,2,3,2,4,2,4,1,1,2,8,4,2,3,5,7,3,20,6,1,1,2,16,6,5,8,7,29,57,1,18,12,1,16,1316,0.894333,0.299102,0.094942,0.722125,0.281143,0.894903,0.586433,0.80058,0.93383,0.7877,0.880469,0.871011,0.822493,0.251278,585.18
48,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,2,4,4,4,2,1,2,4,2,1,1,1,7,8,4,4,3,5,3,4,20,6,1,1,2,5,5,7,8,11,29,317,1,19,213,3,12,419,0.472892,0.681761,0.484196,0.442784,0.281143,0.570733,0.547756,0.80438,0.44352,0.63026,0.385085,0.377003,0.51666,0.340325,1395.45
